Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C18, C2, C20, C21, C3, C4, C6, C7, C8, C9",0402,11,100nF,C1525
"C11, C5",0402,2,2.2uF,C12530
C12,0603,1,1uF,C15849
C14,0603,1,2.2uF,C23630
"C15, C22",0603,2,1u,C15849
"C16, C17",0402,2,30pF,C1570
D1,0603,1,RED,C2286
D2,0603,1,GREEN,C72043
D3,SON50P100X255X50-10N,1,TPD4E05U06DQAR,C138714
D4,D_SOD-123,1,D,C8598
J2,YTC-TC16S-28,1,USB_C_Receptacle,C2927293
Q2,SOT-416,1,DTC143EETL,C2991940
Q3,TRANS_AON7403,1,MSK3419DF,C2902915
"R1, R16, R3, R4, R7",0402,5,5.1k,C25905
"R10, R11",0402,2,27R,C138021
"R12, R6",0402,2,10k,C25744
"R13, R14, R17, R2",0402,4,1k,C11702
"R18, R19",0402,2,0R,C17168
R5,0805,1,10mR,C728271
SW2,SW_PTS810_SJM_250_SMTR_LFS,1,SW_RESET,C221896
SW4,SW_PTS810_SJM_250_SMTR_LFS,1,SW_BOOT,C221896
TH1,0402,1,Thermistor_NTC,C77131
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,AP33772,C5244513
U2,IC_W25Q16JVUXIQ_TR,1,W25Q16JVUXIQ_TR,C2843335
U3,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U4,SOT-23-5,1,AP2204K-3.3,C112032
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C133334
